Comment,Designator,Footprint,LCSC
Conn_01x02,UART2,PinHeader_1x02_P2.54mm_Vertical,
0.1uf/16V,C19,C_0603_1608Metric,
TPS5430DDA,U7,TI_SO-PowerPAD-8_ThermalVias,
Conn_01x06,J4,JST_XH_S6B-XH-A_1x06_P2.50mm_Horizontal,
~,U6,SOT-363_SC-70-6,
Conn_01x03,CH4,PinHeader_1x03_P2.54mm_Vertical,
SGM2212-3.3XKC3G/TR,U11,SOT-223,
Conn_01x03,CH2,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x02,UART5,PinHeader_1x02_P2.54mm_Vertical,
Conn_02x08_Counter_Clockwise,PB2 PB3,PinHeader_2x08_P2.54mm_Vertical,
DC母座(大),J1,DC母座(大),
Conn_01x02,UART1,PinHeader_1x02_P2.54mm_Vertical,
~,U3,SOT-363_SC-70-6,
220uf,C5,CP_Elec_6.3x7.7,
0.1uF/50V,C15,C_0603_1608Metric,
USB_C_Plug_USB2.0,P1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,
10k,R7,R_0603_1608Metric,
0.15R 1206 1WOCP=3.3V/10/0.15R=2.2A,R1,R_1206_3216Metric,
RST,SW7,SW_SPST_FSMSM,
3.2k,R18,R_0603_1608Metric,
0.1uF,C3,C_0603_1608Metric,
22pf/16V,C16,C_0603_1608Metric,
5.1K,R9,R_0603_1608Metric,
0.1uf/16V,C20,C_0603_1608Metric,
10k,R6,R_0603_1608Metric,
0.1uf/16V,C18,C_0603_1608Metric,
K3,KEY3,SW_Push_1P1T_NO_6x6mm,
10k,R17,R_0603_1608Metric,
0.01uf,C13,C_0603_1608Metric,
Buzzer,BZ2,Indicator_PUI_AI-1440-TWT-24V-2-R,
22uh,L2,L_Wuerth_HCI-1040,
LED,D5,LED_0805_2012Metric,
0.15R 1206 1WOCP=3.3V/10/0.15R=2.2A,R2,R_1206_3216Metric,
2.2uF,C9,C_0603_1608Metric,
HC-05,J3,PinSocket_1x06_P2.54mm_Vertical,
K1,KEY1,SW_Push_1P1T_NO_6x6mm,
20,R12,R_0603_1608Metric,
4.7uf,C11,C_0603_1608Metric,
LED,D2,LED_0805_2012Metric,
10k,R5,R_0603_1608Metric,
220uf,C23,CP_Elec_6.3x7.7,
DRV8870DDA,U8,Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,
4.7uf,C4,C_0603_1608Metric,
100uf,C1,CP_Elec_6.3x7.7,
OLED_0.96,OLED1,0.96OLED_4P,
Conn_01x03,CH1,PinHeader_1x03_P2.54mm_Vertical,
DRV8870DDA,U5,Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,
Crystal_GND24(8M),Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,
~,U2,SOT-363_SC-70-6,
0,R3,R_0603_1608Metric,
22pf/16V,C17,C_0603_1608Metric,
R,R14,R_0603_1608Metric,
Conn_01x03,CH5,PinHeader_1x03_P2.54mm_Vertical,
10k,R8,R_0603_1608Metric,
2.2uF,C12,C_0603_1608Metric,
K4,KEY4,SW_Push_1P1T_NO_6x6mm,
HC-05,J16,PinHeader_1x06_P2.54mm_Vertical,
Conn_01x02,J13,CONN-TH_2P-P5.08,
LED,D4,LED_0805_2012Metric,
0.1uf/16V,C21,C_0603_1608Metric,
STM32F103RCTx,U1,LQFP-64_10x10mm_P0.5mm,
0.1uf,C10,C_0603_1608Metric,
0,R4,R_0603_1608Metric,
0.1uf,C6,C_0603_1608Metric,
Conn_01x04,K210,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,
B340,D1,D_SMA,
K2,KEY2,SW_Push_1P1T_NO_6x6mm,
LED,D3,LED_0805_2012Metric,
CH340C,U10,SOIC-16_3.9x9.9mm_P1.27mm,
1M,R16,R_0603_1608Metric,
Conn_01x08,MPU6050,MPU6050-GY-521,
Conn_01x02,UART4,PinHeader_1x02_P2.54mm_Vertical,
5.1K,R13,R_0603_1608Metric,
100uf,C2,CP_Elec_6.3x7.7,
~,U4,SOT-363_SC-70-6,
Conn_01x06,J2,JST_XH_S6B-XH-A_1x06_P2.50mm_Horizontal,
0.1uf/16V,C14,C_0603_1608Metric,
0.1uf/16V,C22,C_0603_1608Metric,
10K,R15,R_0603_1608Metric,
S8050,Q1,SOT-23,
Conn_01x02,UART3,PinHeader_1x02_P2.54mm_Vertical,
